Date(UTC),Latitude,Longitude,Depth,Magnitude
11-10-2000 00:00,40.7,30.35,10,4
12-10-2000 00:00,39.2,41.7,10,4.1
13-10-2000 00:00,36,30,180,6.1
14-10-2000 00:00,40.14,26.4,10,5.4
15-10-2000 00:00,41.35,43.62,10,4.7
16-10-2000 00:00,41.6,44.2,10,4.8
17-10-2000 00:00,38.38,38.59,10,4
18-10-2000 00:00,38.2,38.9,10,4
19-10-2000 00:00,36.6,37.8,10,4.7
20-10-2000 00:00,36,40.7,10,5
21-10-2000 00:00,36,40.7,10,5.5
22-10-2000 00:00,37.9,39,10,4.8
23-10-2000 00:00,38.46,39.55,10,4
24-10-2000 00:00,38.3,27.48,10,4.8
25-10-2000 00:00,41.6,44.3,16,4.1
26-10-2000 00:00,37.46,44.31,10,5.1
27-10-2000 00:00,41.4,44,19,4.8
28-10-2000 00:00,40.75,27.2,10,7.4
29-10-2000 00:00,40.75,27.2,10,4.3
30-10-2000 00:00,40.75,27.2,10,6.2
31-10-2000 00:00,40.75,27.2,10,5.3
01-11-2000 00:00,40.75,27.2,10,4.8
02-11-2000 00:00,40.6,27.2,30,5
03-11-2000 00:00,38.65,30.81,10,4.9
04-11-2000 00:00,40.7,27,10,6.2
05-11-2000 00:00,40.7,27,10,5.2
06-11-2000 00:00,41.4,43.7,10,5.6
07-11-2000 00:00,41.5,44,30,5
08-11-2000 00:00,40.7,27.08,10,4.4
09-11-2000 00:00,40.5,27,15,4.8
10-11-2000 00:00,39.06,41.6,10,5.6
11-11-2000 00:00,38.79,27.87,10,4.6
12-11-2000 00:00,41.91,44.32,10,6.1
13-11-2000 00:00,40.8,27.55,10,4.8
14-11-2000 00:00,40.05,30.13,10,4.8
15-11-2000 00:00,39.4,41.08,10,5.2
16-11-2000 00:00,38.46,42.15,10,5.2
17-11-2000 00:00,38.46,42.15,10,5.8
18-11-2000 00:00,40,26,15,4.5
19-11-2000 00:00,40,41.7,10,4
20-11-2000 00:00,39.5,36.5,10,5
21-11-2000 00:00,39.25,36,10,5.6
22-11-2000 00:00,39.2,36,10,4.7
23-11-2000 00:00,39.65,43.9,10,5.4
24-11-2000 00:00,38,31.5,10,4.7
25-11-2000 00:00,37.6,30.1,10,7
26-11-2000 00:00,37.8,30.25,10,4.8
27-11-2000 00:00,37.8,30.25,10,4.7
28-11-2000 00:00,37.8,30.25,10,4.6
29-11-2000 00:00,37.8,30.25,10,5
30-11-2000 00:00,37.8,30.25,10,4.6
01-12-2000 00:00,37.8,30.25,10,4.4
02-12-2000 00:00,37.8,30.25,10,4.8
03-12-2000 00:00,37.75,30.45,10,5.2
04-12-2000 00:00,37.8,30.25,10,4.5
05-12-2000 00:00,38,30,15,4.6
06-12-2000 00:00,37.75,30.45,10,4.7
07-12-2000 00:00,37.75,30.45,10,4.8
08-12-2000 00:00,37.8,30.25,10,4.9
09-12-2000 00:00,37.6,30.06,10,5
10-12-2000 00:00,37.6,30.06,10,5.1
11-12-2000 00:00,38.8,30.3,10,4.5
12-12-2000 00:00,37.8,30.3,10,4.8
13-12-2000 00:00,38.3,26.65,10,4.3
14-12-2000 00:00,38.5,41.5,10,5.5
15-12-2000 00:00,38.5,41.5,10,5.2
16-12-2000 00:00,40.5,44.5,10,5.1
17-12-2000 00:00,38.45,40.25,10,5.5
18-12-2000 00:00,39.3,36.15,10,5.5
19-12-2000 00:00,40.27,36.83,10,7.1
20-12-2000 00:00,38.2,26.2,10,4.7
21-12-2000 00:00,40.1,44.1,10,4.9
22-12-2000 00:00,40.8,44.4,26,5.3
23-12-2000 00:00,41.3,44.5,10,4.6
24-12-2000 00:00,41.3,44.6,10,4.5
25-12-2000 00:00,41.9,36.9,10,5
26-12-2000 00:00,40.6,27.1,15,5.3
27-12-2000 00:00,36,28,10,4.6
28-12-2000 00:00,39,27,10,4.5
29-12-2000 00:00,40.5,26,10,5
30-12-2000 00:00,38.34,29.48,10,5.7
31-12-2000 00:00,38.8,32.9,10,5.3
01-01-2001 00:00,36.08,26.99,70,6.1
02-01-2001 00:00,40.89,33.41,10,5.8
03-01-2001 00:00,40.58,35.16,10,5.3
04-01-2001 00:00,37.8,27.3,35,5.2
05-01-2001 00:00,36.4,27.5,10,4.9
06-01-2001 00:00,36.4,27.5,10,4.8
07-01-2001 00:00,40.9,42.2,40,5.2
08-01-2001 00:00,36.6,26.7,15,5.2
09-01-2001 00:00,39.13,31.02,10,5.3
10-01-2001 00:00,41.16,33.2,10,5.7
11-01-2001 00:00,40.68,33.89,10,5
12-01-2001 00:00,36,28,15,5.2
13-01-2001 00:00,36,28,10,4.8
14-01-2001 00:00,36,28,15,5.4
15-01-2001 00:00,41.5,28,10,4.5
16-01-2001 00:00,39.26,26.71,10,7
17-01-2001 00:00,41.8,26.2,20,5.2
18-01-2001 00:00,42,44.1,10,4.8
19-01-2001 00:00,42,44.1,11,6.2
20-01-2001 00:00,36.75,26.64,10,5.5
21-01-2001 00:00,37,28.7,30,5
22-01-2001 00:00,37.5,29,15,5
23-01-2001 00:00,37.5,29,15,5.2
24-01-2001 00:00,37.89,28.35,10,5.7
25-01-2001 00:00,39.3,26.5,10,4.9
26-01-2001 00:00,38.33,32.79,10,5.7
