Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bjørnøya;SN99710;27.05.1981;0.1
Bjørnøya;SN99710;28.05.1981;0.1
Bjørnøya;SN99710;29.05.1981;0
Bjørnøya;SN99710;30.05.1981;0
Bjørnøya;SN99710;31.05.1981;0
Bjørnøya;SN99710;01.06.1981;1.6
Bjørnøya;SN99710;02.06.1981;0.3
Bjørnøya;SN99710;03.06.1981;0.6
Bjørnøya;SN99710;04.06.1981;0
Bjørnøya;SN99710;05.06.1981;0.4
Bjørnøya;SN99710;06.06.1981;0.3
Bjørnøya;SN99710;07.06.1981;0.5
Bjørnøya;SN99710;08.06.1981;0
Bjørnøya;SN99710;09.06.1981;0
Bjørnøya;SN99710;10.06.1981;0
Bjørnøya;SN99710;11.06.1981;0.8
Bjørnøya;SN99710;12.06.1981;0.2
Bjørnøya;SN99710;13.06.1981;0.5
Bjørnøya;SN99710;14.06.1981;0.4
Bjørnøya;SN99710;15.06.1981;0.5
Bjørnøya;SN99710;16.06.1981;0.1
Bjørnøya;SN99710;17.06.1981;0.4
Bjørnøya;SN99710;18.06.1981;0.1
Bjørnøya;SN99710;19.06.1981;0
Bjørnøya;SN99710;20.06.1981;1
Bjørnøya;SN99710;21.06.1981;4.5
Bjørnøya;SN99710;22.06.1981;0
Bjørnøya;SN99710;23.06.1981;6.5
Bjørnøya;SN99710;24.06.1981;2.2
Bjørnøya;SN99710;25.06.1981;1.6
Bjørnøya;SN99710;26.06.1981;0
Bjørnøya;SN99710;27.06.1981;0
Bjørnøya;SN99710;28.06.1981;0
Bjørnøya;SN99710;29.06.1981;1.7
Bjørnøya;SN99710;30.06.1981;0.1
Bjørnøya;SN99710;01.07.1981;0
Bjørnøya;SN99710;02.07.1981;0
Bjørnøya;SN99710;03.07.1981;3.9
Bjørnøya;SN99710;04.07.1981;0.2
Bjørnøya;SN99710;05.07.1981;0
Bjørnøya;SN99710;06.07.1981;4.5
Bjørnøya;SN99710;07.07.1981;0
Bjørnøya;SN99710;08.07.1981;3.1
Bjørnøya;SN99710;09.07.1981;0.1
Bjørnøya;SN99710;10.07.1981;0
